"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"0.12",2,1,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"1/-1"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"1/-1"
"0.12",2,1,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"1/-1"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"1/-1"
"0.12",2,1,2,3.25,1.825,2,0.799739540934005,"1/-1"
"0.12",2,1,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"1/-1"
"0.12",2,1,6,14.5,7.6,7.75,5.34659808767323,"1/-1"
"0.12",2,1,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"1/-1"
"0.12",2,1,2,3,1.55,1.25,0.685160159703148,"1/-1"
"0.12",2,1,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"1/-1"
"0.12",2,1,1,2.1875,1.1125,1,0.764217101207358,"1/-1"
"0.12",2,1,2,4.5,2.65,3,1.24833222073827,"1/-1"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"1/-1"
"0.12",2,0.971,2,2.25,1.525,1.5,0.558395518925031,"1/-5"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"1/-5"
"0.12",2,0.495,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"1/-5"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"1/-5"
"0.12",2,0.375,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"1/-5"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"1/-5"
"0.12",2,0.518,2,3.25,1.825,2,0.799739540934005,"1/-5"
"0.12",2,0.86,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"1/-5"
"0.12",2,0.929,6,14.5,7.6,7.75,5.34659808767323,"1/-5"
"0.12",2,0.795,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"1/-5"
"0.12",2,0.978,2,3,1.55,1.25,0.685160159703148,"1/-5"
"0.12",2,0.521,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"1/-5"
"0.12",2,0.452,1,2.1875,1.1125,1,0.764217101207358,"1/-5"
"0.12",2,0.7,2,4.5,2.65,3,1.24833222073827,"1/-5"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"1/-5"
"0.12",2,0.905,2,2.25,1.525,1.5,0.558395518925031,"1/-10"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"1/-10"
"0.12",2,0.075,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"1/-10"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"1/-10"
"0.12",2,0.026,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"1/-10"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"1/-10"
"0.12",2,0.202,2,3.25,1.825,2,0.799739540934005,"1/-10"
"0.12",2,0.568,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"1/-10"
"0.12",2,0.617,6,14.5,7.6,7.75,5.34659808767323,"1/-10"
"0.12",2,0.544,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"1/-10"
"0.12",2,0.881,2,3,1.55,1.25,0.685160159703148,"1/-10"
"0.12",2,0.06,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"1/-10"
"0.12",2,0.16,1,2.1875,1.1125,1,0.764217101207358,"1/-10"
"0.12",2,0.205,2,4.5,2.65,3,1.24833222073827,"1/-10"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"1/-10"
"0.12",3,0.64,3,2.75000000000001,1.75,1.50000000000001,0.816496580927727,"10/-1"
"0.12",3,0.633,1,2.33333333333333,1.64166666666667,1.75,0.600989410559736,"10/-1"
"0.12",3,0.937,2,2.44444444444445,1.37777777777778,1,0.617974921914495,"10/-1"
"0.12",3,0.833,2,2.66666666666667,1.6,1.5,0.662952617341169,"10/-1"
"0.12",3,0.949,2,2.46428571428571,1.33571428571428,1,0.596949919464945,"10/-1"
"0.12",3,0.587,2,3.11538461538461,1.53461538461539,1,0.753351049694806,"10/-1"
"0.12",3,0.858,3,4.48888888888889,1.99333333333333,1.5,1.24316733410114,"10/-1"
"0.12",3,1,2,2.5,1.35,1,0.579750904364203,"10/-1"
"0.12",3,0.585,2,2.99999999999999,1.725,1.5,0.803205384001431,"10/-1"
"0.12",3,0.254,2,2.57407407407407,1.80185185185185,2,0.610708808844131,"10/-1"
"0.12",3,1,3,4,1.6,1,1.07496769977314,"10/-1"
"0.12",3,0.049,4,16.6666666666666,10.35,11.0833333333333,5.85601410812574,"10/-1"
"0.12",3,1,2,2.5,0.950000000000001,1,0.875066135066797,"10/-1"
"0.12",3,0.925,3,3.5,1.71666666666667,1.5,0.864420165325996,"10/-1"
"0.12",3,0.832,2,6.00000000000002,3.25999999999999,2.89999999999999,2.41302023751702,"10/-1"
"0.12",3,0.65,3,2.75000000000001,1.75,1.50000000000001,0.816496580927727,"10/-5"
"0.12",3,0.341,1,2.33333333333333,1.64166666666667,1.75,0.600989410559736,"10/-5"
"0.12",3,0.846,2,2.44444444444445,1.37777777777778,1,0.617974921914495,"10/-5"
"0.12",3,0.698,2,2.66666666666667,1.6,1.5,0.662952617341169,"10/-5"
"0.12",3,0.909,2,2.46428571428571,1.33571428571428,1,0.596949919464945,"10/-5"
"0.12",3,0.464,2,3.11538461538461,1.53461538461539,1,0.753351049694806,"10/-5"
"0.12",3,0.761,3,4.48888888888889,1.99333333333333,1.5,1.24316733410114,"10/-5"
"0.12",3,1,2,2.5,1.35,1,0.579750904364203,"10/-5"
"0.12",3,0.481,2,2.99999999999999,1.725,1.5,0.803205384001431,"10/-5"
"0.12",3,0.304,2,2.57407407407407,1.80185185185185,2,0.610708808844131,"10/-5"
"0.12",3,1,3,4,1.6,1,1.07496769977314,"10/-5"
"0.12",3,0.37,4,16.6666666666666,10.35,11.0833333333333,5.85601410812574,"10/-5"
